"情境ID","情境名稱","情境目標(客語)","情境目標(華語)","節點ID","節點標題","節點類型","地點標籤","客語引導語(題目)","華語引導語(題目)","目標客語句","目標華語句","客語關鍵詞","華語關鍵詞","NPC角色","NPC頭像","通關NPC回應","華語通關回應","重試NPC回應","華語重試回應"
"zoo_chain","動物園連鎖任務","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱小人走入展區，完成對話並於出口集合。","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱角色走入展區，完成對話並於出口集合。","zoo_start","第一關：購票入園","主線","動物園大門售票處","今天天氣晴朗，你跟同學一起來到動物園門口。輪到你上前時，你準備跟售票員買學生票。你說：","今天天氣晴朗，你跟同學一起來到動物園門口。輪到你上前時，你準備跟售票員買學生票。你說：","𠊎愛買三張學生票。","我要買三張學生票。","三張、愛買、學生票","我要買、三張、學生票","售票員","🧑‍💼","「好，三張學生票。這是你的門票，請收好，祝你們玩得開心！」","「好，三張學生票。這是你的門票，請收好，祝你們玩得開心！」","「不好意思我沒聽清楚，請問要買幾張票呢？請再說一次喔！」","「不好意思我沒聽清楚，請問要買幾張票呢？請再說一次喔！」"
"zoo_chain","動物園連鎖任務","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱小人走入展區，完成對話並於出口集合。","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱角色走入展區，完成對話並於出口集合。","zoo_gate","第二關：驗票進場","主線","入園驗票閘門","你拿著門票走到閘門前，志工奶奶準備幫你驗票，你也想向她道謝。你說：","你拿著門票走到閘門前，志工奶奶準備幫你驗票，你也想向她道謝。你說：","這係𠊎个門票，恁仔細。","這是我的門票，謝謝。","門票、恁仔細","這是、門票、謝謝","驗票志工","👵","「歡迎光臨！閘門打開了，進去請小心腳步，慢慢參觀喔！」","「歡迎光臨！閘門打開了，進去請小心腳步，慢慢參觀喔！」","「志工奶奶正在等您出示門票並道謝喔，請再說一次！」","「志工奶奶正在等您出示門票並道謝喔，請再說一次！」"
"zoo_chain","動物園連鎖任務","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱小人走入展區，完成對話並於出口集合。","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱角色走入展區，完成對話並於出口集合。","zoo_choose_animal","第三關：園區問路找展區","選擇","園區路口導覽站","進到園區後，你們想先看一種動物。請看上方提示，開口向導覽員詢問你想去的展區（例如大象、獅子或蛇）：","進到園區後，你們想先看一種動物。請看上方提示，開口向導覽員詢問你想去的展區（例如大象、獅子或蛇）：","請問大象區愛仰般行？","請問大象展區要怎麼走？","大象、獅子、蛇","大象、獅子、蛇","園區導覽員","👨‍🌾","「想好要看哪一種動物後，就看清楚路線提示，操縱小人出發吧！」","「想好要看哪一種動物後，就看清楚路線提示，操縱角色出發吧！」","「請問你想去哪裡呢？請開口向導覽員詢問你想去的展區喔！」","「請問你想去哪裡呢？請開口向導覽員詢問你想去的展區喔！」"
"zoo_chain","動物園連鎖任務","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱小人走入展區，完成對話並於出口集合。","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱角色走入展區，完成對話並於出口集合。","zoo_map_nav","第四關：園區步道尋路移動","地圖移動","園區步道十字路口","請依照導覽員的指示，操縱小人沿著石板步道走向你選擇的【⭐ 星標展區】，抵達後按右下角【確定抵達】！","請依照導覽員的指示，操縱角色沿著石板步道走向你選擇的【⭐ 星標展區】，抵達後按右下角【確定抵達】！","","","","","園區導覽員","👨‍🌾","「很好！你順利走到展區了，快跟同學分享你的發現吧！」","「很好！你順利走到展區了，快跟同學分享你的發現吧！」","「哎呀走錯展區囉！目前位置不是你選擇的展區，請按【🔄 重新走】或看清楚星標再試一次！」","「哎呀走錯展區囉！目前位置不是你選擇的展區，請按【🔄 重新走】或看清楚星標再試一次！」"
"zoo_chain","動物園連鎖任務","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱小人走入展區，完成對話並於出口集合。","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱角色走入展區，完成對話並於出口集合。","zoo_elephant","第五關：大象展區互動","分支","大象展區水池旁","你看到大象用長鼻子吸水沖在背上洗澡，覺得很可愛，想跟身邊的同學分享。你說：","你看到大象用長鼻子吸水沖在背上洗澡，覺得很可愛，想跟身邊的同學分享。你說：","大象个鼻仔當長，當得人惜！","大象的鼻子好長，好可愛！","大象、鼻仔、當長、得人惜","大象、鼻子、好長、可愛","同學阿明","👦","「真的耶！你看牠還會用長鼻子捲草吃，大象真的好得意喔！」","「真的耶！你看牠還會用長鼻子吸水噴在背上，大象真的好可愛喔！」","「阿明沒聽清楚，請跟同學分享大象長鼻子洗澡的可愛特徵喔！」","「阿明沒聽清楚，請跟同學分享大象長鼻子洗澡的可愛特徵喔！」"
"zoo_chain","動物園連鎖任務","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱小人走入展區，完成對話並於出口集合。","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱角色走入展區，完成對話並於出口集合。","zoo_lion","第五關：獅子展區互動","分支","獅子展區岩石旁","你看到獅子趴在石頭上休息，鬃毛看起來很威風，想跟身邊的同學分享。你說：","你看到獅子趴在石頭上休息，鬃毛看起來很威風，想跟身邊的同學分享。你說：","獅仔看起來當威風。","獅子看起來很威風。","獅仔、當威風","獅子、威風、很威風","同學阿明","👦","「對啊，牠趴在岩石上，看起來就像草原之王一樣威風！」","「對啊，牠趴在岩石上，看起來就像草原之王一樣威風！」","「阿明沒聽清楚，請跟同學分享獅子趴在石頭上的威風模樣喔！」","「阿明沒聽清楚，請跟同學分享獅子趴在石頭上的威風模樣喔！」"
"zoo_chain","動物園連鎖任務","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱小人走入展區，完成對話並於出口集合。","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱角色走入展區，完成對話並於出口集合。","zoo_snake","第五關：蛇展區互動","分支","蛇展區玻璃窗前","你看到蛇慢慢爬過樹枝，動作很安靜，想跟身邊的同學分享。你說：","你看到蛇慢慢爬過樹枝，動作很安靜，想跟身邊的同學分享。你說：","蛇仔行路當靜。","蛇移動得很安靜。","蛇仔、當靜","蛇、移動、安靜、很安靜","同學阿明","👦","「真的，牠在樹枝上滑行得好慢，幾乎一點聲音都沒有！」","「真的，牠在樹枝上滑行得好慢，幾乎一點聲音都沒有！」","「阿明沒聽清楚，請跟同學分享蛇在樹枝上安靜爬行的特徵喔！」","「阿明沒聽清楚，請跟同學分享蛇在樹枝上安靜爬行的特徵喔！」"
"zoo_chain","動物園連鎖任務","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱小人走入展區，完成對話並於出口集合。","體驗購票、驗票、口說問路並依照指引在 Canvas 地圖操縱角色走入展區，完成對話並於出口集合。","zoo_meet_point","第六關：展區出口集合","集合點","園區出口集合點","參觀完動物展區後，大家走到【⭐ 出口集合點】集合，老師正在清點人數。你向老師報告：","參觀完動物展區後，大家走到【⭐ 出口集合點】集合，老師正在清點人數。你向老師報告：","老師，𠊎兜都參觀好了！","老師，我們都參觀好了！","老師、參觀、好了","老師、我們、參觀好了","帶隊老師","👩‍🏫","「太棒了！大家都準時集合而且學到很多動物知識，動物園探索大成功！」","「太棒了！大家都準時集合而且學到很多動物知識，動物園探索大成功！」","「老師正在等大家報告參觀完畢喔，請向老師報告！」","「老師正在等大家報告參觀完畢喔，請向老師報告！」"
"hakka_food","客家美食點餐","走入客家傳統餐館，學習點粄條主食、客製化飲食需求與加點飲品評價。","走入傳統餐館，體驗點粄條主食、客製化飲食需求與加點飲品評價。","food_step1","步驟 1：點傳統主食","主線","客家小吃店櫃檯","我走過街上聞一聞好香喔，我的嘴巴都流口水了，跟著香味走去原來是一個客家小吃攤。你舔了一舔嘴巴，進到餐廳門口看了一下，決定跟老闆點菜。你說：","走過街上聞一聞好香喔，嘴巴都流口水了，跟著香味走去原來是一個傳統小吃攤。你舔了一舔嘴巴，進到餐廳門口看了一下，決定跟老闆點菜。你說：","老闆，𠊎愛一碗湯粄條。","老闆，我要一碗湯粄條。","老闆、愛一碗、湯粄條","老闆、我要、一碗、湯粄條","小吃店老闆","👨‍🍳","「好，我收你五十箍，你去那邊稍坐一下喔，等一下就上菜了！」","「好，我收你五十元，你去那邊稍坐一下喔，等一下就上菜了！」","「老闆沒聽清楚，請問你想點什麼主食呢？請再說一次喔！」","「老闆沒聽清楚，請問你想點什麼主食呢？請再說一次喔！」"
"hakka_food","客家美食點餐","走入客家傳統餐館，學習點粄條主食、客製化飲食需求與加點飲品評價。","走入傳統餐館，體驗點粄條主食、客製化飲食需求與加點飲品評價。","food_step2","步驟 2：客製化飲食需求","主線","出餐備料區","你想起自己平常不喜歡吃香菜，而且喜歡湯頭稍微甘甜一點。你走到廚房窗口前，親切地交代掌廚的阿姨。你說：","你想起自己平常不喜歡吃香菜，而且喜歡湯頭稍微甘甜一點。你走到廚房窗口前，親切地交代掌廚的阿姨。你說：","毋好放香菜，甜一點。","不要放香菜，甜一點。","毋好放、香菜","不要放、香菜、甜一點","廚房阿姨","👩‍🍳","「沒問題！阿姨記下來了，不放香菜，幫你煮得甘甜甘甜！」","「沒問題！阿姨記下來了，不放香菜，幫你煮得甘甜甘甜！」","「阿姨沒聽清楚，請清楚告訴阿姨你的口味與客製要求喔！」","「阿姨沒聽清楚，請清楚告訴阿姨你的口味與客製要求喔！」"
